model,manufacturer,technology,pdc0_W,Voc_V,Isc_A,Vmp_V,Imp_A,eff_percent,cells
First_Solar_120_cell_535W_44,First_Solar,TOPCon,535,35.49,14.54,43.32,12.35,19.88,120_cell
Vikram_120_cell_425W_45,Vikram,Polycrystalline,425,40.68,13.3,28.35,14.99,16.87,120_cell
First_Solar_132_cell_605W_46,First_Solar,Monocrystalline PERC,605,51.11,11.32,30.35,19.93,19.69,132_cell
Adani_72_cell_410W_47,Adani,HJT,410,31.44,14.64,49.28,8.32,17.96,72_cell
Adani_144_cell_315W_48,Adani,HJT,315,48.48,14.61,50.66,6.22,22.5,144_cell
LG_144_cell_470W_49,LG,TOPCon,470,49.3,11.21,41.09,11.44,23.06,144_cell
Adani_72_cell_495W_50,Adani,Monocrystalline PERC,495,57.16,9.37,29.66,16.69,16.76,72_cell
HT_Solar_144_cell_700W_51,HT_Solar,Bifacial,700,49.67,10.7,44.36,15.78,18.55,144_cell
Canadian_Solar_120_cell_585W_52,Canadian_Solar,Polycrystalline,585,50.9,12.4,49.06,11.92,21.51,120_cell
Tata_60_cell_660W_53,Tata,TOPCon,660,47.06,12.03,45.56,14.49,16.96,60_cell
Longi_60_cell_355W_54,Longi,HJT,355,42.87,13.26,46.11,7.7,16.77,60_cell
Seraphim_132_cell_360W_55,Seraphim,Polycrystalline,360,56.87,10.72,28.26,12.74,22.79,132_cell
Canadian_Solar_120_cell_685W_56,Canadian_Solar,Polycrystalline,685,50.3,11.38,39.83,17.2,16.62,120_cell
Vikram_120_cell_420W_57,Vikram,Polycrystalline,420,46.61,9.49,50.71,8.28,21.86,120_cell
Panasonic_144_cell_490W_58,Panasonic,TOPCon,490,59.88,8.39,45.69,10.72,20.09,144_cell
HT_Solar_120_cell_340W_59,HT_Solar,Polycrystalline,340,52.85,12.33,30.43,11.17,16.63,120_cell
REC_144_cell_340W_60,REC,TOPCon,340,54.66,12.94,29.95,11.35,16.64,144_cell
